time,V,R,C,M
5.6000000000000005,24.140914536119897,49.1307590232443,46.86592825502766,31.959797825269316
5.605,24.110805457580334,49.10395327086334,46.867422005524105,31.974490047249663
5.61,24.080756234152517,49.0771536398451,46.86888105964372,31.989160337178664
5.615,24.050766769457937,49.05036020590202,46.87030553046142,32.00380868559844
5.62,24.02083696715588,49.02357304451294,46.87169553084835,32.01843508317519
5.625,23.990966730943427,48.996792230923106,46.8730511734718,32.03303952069918
5.63,23.961155964555456,48.97001784014412,46.87437257079529,32.04762198908475
5.635,23.93140457176465,48.943249946954005,46.87565983507851,32.062182479370335
5.64,23.90171245638147,48.91648862589714,46.87691307837735,32.07672098271842
5.6450000000000005,23.87207952225419,48.88973395128431,46.87813241254389,32.09123749041557
5.65,23.84250567326888,48.862985997192695,46.87931794922641,32.105731993872425
5.655,23.81299081334941,48.83624483746584,46.88046979986937,32.12020448462371
5.66,23.78353484645742,48.809510545713714,46.88158807571343,32.13465495432821
5.665,23.75413767659238,48.782783195312625,46.88267288779544,32.149083394768795
5.67,23.724799207791538,48.75606285940532,46.88372434694843,32.16348979785241
5.675,23.69551934412994,48.72934961090089,46.88474256380166,32.177874155610056
5.68,23.66629798972044,48.702643522474844,46.88572764878053,32.19223646019683
5.6850000000000005,23.63713504871367,48.67594466656907,46.88667971210668,32.206576703891905
5.69,23.608030425298082,48.64925311539185,46.887598863797905,32.22089487909851
5.695,23.578984023699903,48.62256894091784,46.88848521366821,32.23519097834396
5.7,23.54999574818317,48.59589221488808,46.8893388713278,32.249464994279634
5.705,23.52106550304971,48.56922300881004,46.890159946183054,32.26371691968101
5.71,23.49219319263915,48.54256139395752,46.89094854743656,32.277946747447615
5.715,23.463378721328912,48.51590744137076,46.891704784087075,32.29215447060306
5.72,23.434621993534215,48.48926122185634,46.89242876492957,32.30634008229503
5.7250000000000005,23.405922913708068,48.462622805987266,46.8931205985552,32.32050357579529
5.73,23.3772813863413,48.43599226410292,46.89378039335132,32.33464494449967
5.735,23.348697315962507,48.40936966630907,46.89440825750146,32.34876418192808
5.74,23.320170607138103,48.38275508247787,46.895004298985356,32.362861281724506
5.745,23.291701164472283,48.35614858224787,46.89556862557893,32.376936237657
5.75,23.263288892607054,48.329550235023994,46.89610134485431,32.3909890436177
5.755,23.234933696222207,48.30296010997757,46.89660256417979,32.40501969362281
5.76,23.20663548003533,48.27637827604631,46.89707239071987,32.419028181812614
5.765,23.178394148801825,48.2498048019343,46.89751093143526,32.43301450245147
5.7700000000000005,23.150209607314864,48.223239756112044,46.89791829308283,32.4469786499278
5.775,23.12208176040544,48.1966832068164,46.89829458221566,32.460920618754116
5.78,23.09401051294233,48.17013522205064,46.898639905183025,32.474840403567
5.785,23.065995769832107,48.14359586958441,46.89895436813038,32.488737999127096
5.79,23.038037436019145,48.11706521695375,46.89923807699938,32.50261340031914
5.795,23.010135416485614,48.09054333146108,46.89949113752788,32.51646660215194
5.8,22.98228961625148,48.06403028017522,46.899713655249904,32.53029759975835
5.805,22.954499940374504,48.03752612993137,46.89990573549569,32.54410638839535
5.8100000000000005,22.926766293950244,48.01103094733113,46.90006748339166,32.557892963443955
5.815,22.89908858211206,47.98454479874246,46.90019900386043,32.571657320409265
5.82,22.871466710031104,47.958067750299755,46.9003004016208,32.585399454920456
5.825,22.843900582916323,47.93159986790374,46.90037178118777,32.599119362730775
5.83,22.816390106014467,47.90514121722158,46.90041324687254,32.61281703971755
5.835,22.78893518461007,47.878691863686804,46.90042490278248,32.62649248188218
5.84,22.76153572402548,47.852251872499316,46.900406852821185,32.64014568535014
5.845,22.73419162962083,47.82582130862544,46.9003592006884,32.65377664637098
5.8500000000000005,22.706902806794048,47.79940023679786,46.90028204988009,32.66738536131832
5.855,22.679669160980872,47.772988721515674,46.900175503688416,32.68097182668984
5.86,22.652490597654822,47.74658682704434,46.90003966520172,32.69453603910734
5.865,22.62536702232722,47.72019461741573,46.89987463730453,32.70807799531665
5.87,22.598298340547192,47.69381215642808,46.89968052267758,32.72159769218769
5.875,22.571284457901648,47.66743950764604,46.899457423797784,32.73509512671446
5.88,22.5443252800153,47.64107673440062,46.89920544293827,32.74857029601503
5.885,22.51742071255066,47.61472389978925,46.89892468216832,32.76202319733154
5.89,22.490570661208032,47.58838106667571,46.89861524335345,32.77545382803021
5.8950000000000005,22.463775031725515,47.562048297690204,46.89827722815534,32.78886218560133
5.9,22.43703372987902,47.53572565522931,46.89791073803187,32.80224826765928
5.905,22.41034666148223,47.509413201455985,46.89751587423712,32.81561207194248
5.91,22.38371373238665,47.48311099829959,46.897092737821346,32.82895359631347
5.915,22.357134848481557,47.45681910745586,46.89664142963102,32.84227283875882
5.92,22.330609915694044,47.430537590386926,46.896162050308774,32.85556979738921
5.925,22.304138839988994,47.40426650832131,46.89565470029346,32.86884447043937
5.93,22.27772152736908,47.378005922253905,46.89511947982011,32.88209685626812
5.9350000000000005,22.25135788387478,47.351755892946024,46.89455648891995,32.89532695335836
